product_name,price
삼성전자 125cm UHD TV KU50UA7050FXKR (설치유형 선택가능),"751,400"
LG전자 120cm OLED TV OLED48A1ENA (설치유형 선택가능),"991,800"
삼성전자 108cm(43) LH43BEAHLGF 4K UHD/LED/HDR10+ [설치유형 선택가능],"543,240"
삼성전자 138cm Crystal Processor 4K UHD KU55UA7000FXKR (설치유형 선택가능),"806,600"
유맥스 165cm UHD TV 65UJ21 (스탠드 자가설치),"476,040"
유맥스 165cm UHD 스마트 TV / 65UJ21 (설치유형. 전용 악세서리 선택구매 가능),"476,040"
프리즘코리아 [하이마트 배송] 165cm 바이런  4K HDR TV BR650UHD [옵션선택가능],"474,480"
LG전자 189cm 울트라HD TV 75UP83RC0NA (설치유형 선택가능),"1,607,000"
삼성전자 189cm Crystal 4K UHD KU75UA7050FXKR (설치유형 선택가능),"1,459,800"
LG전자 189cm UHD 나노셀 TV 75NANO83KPA [설치유형 선택가능],"2,387,000"
삼성전자 126cm(50) LH50BEAHLGF 4K UHD/LED/HDR10+/사이니지 [설치유형 선택가능],"658,440"
삼성전자 189cm QLED TV KQ75QA67AFXKR (벽걸이형),"2,587,000"
필립스 [하이마트 배송!] 140cm UHD TV 55PUN7625 HDR10 4K USB재생 (설치유형 선택가능),"492,880"
유맥스 [하이마트 배송] 109cm UHD TV AI43 (옵션선택형),"318,080"
삼성전자 214cm Crystal 4K UHD KU85UA7050FXKR + JBL 스피커 무상증정 혜택!,"2,287,800"
더함 109cm UHD 노바 스마트 TV N431UHD (설치유형선택),"293,640"
삼성전자 비스포크 4도어 냉장고 RF85A9103AP (875L) / 메탈 포함,"1,050,200"
"삼성전자 [포토상품평 이벤트] 비스포크 4도어 냉장고 RF85A9103AP (875L, 코타화이트)","1,326,200"
"삼성전자 [포토상품평이벤트] 비스포크 4도어 냉장고 RF85A9103AP (875L, 글램 라벤더)","1,145,880"
LG전자 [포토상품평이벤트] DIOS 양문형 냉장고 매직스페이스 S834SS32 (832L),"1,101,000"
LG전자 [포토상품평이벤트] [선착순_엘포10만] DIOS 매직스페이스 양문형 냉장고 S834SS20 (826L),"1,001,000"
LG전자 [포토상품평이벤트] [선착순_엘포10만] DIOS 더블매직스페이스 메탈 냉장고 F874SN55E (870L),"2,197,000"
LG전자 [포토상품평이벤트] 디오스 S834S32 양문형냉장고 832L,"1,017,000"
"캐리어 클라윈드 양문형냉장고 CRF-SN570BDC (570L, 블랙에디션)","641,000"
삼성전자 [포토상품평 이벤트] 양문형 정수기 냉장고 RS80T5190SL (805L),"1,423,000"
LG전자 [포토상품평이벤트] [선착순_엘포10만] 디오스 냉장고 F874SS11.AKOR (870L),"1,415,000"
"삼성전자 [포토상품평 이벤트] 비스포크 4도어 냉장고 RF85A9103AP (875L,글램화이트+글램핑크)","1,418,200"
삼성전자 [포토상품평 이벤트] 양문형 냉장고 RS84T5071M9 (846L),"1,057,000"
삼성전자 [포토상품평 이벤트] 양문형 냉장고 RS63R557EB4 (635L),"1,159,800"
LG전자 [포토상품평이벤트] [선착순_엘포10만] DIOS 양문형 냉장고 S634MC35Q [652L],"1,323,000"
"삼성전자 [포토상품평 이벤트] 비스포크 4도어 냉장고 RF85A9103AP (875L, 브라우니실버)","1,234,200"
"위니아딤채 4도어 냉장고 GRB480ELS (479L, 세미빌트인)","963,000"
LG전자 [포토상품평이벤트] DIOS 매직스페이스 냉장고 S834W35 [832L],"1,413,800"
하이메이드 [포토상품평이벤트] 4도어 글램글라스 인버터 냉장고 HRF-H433WW 세미빌트인 (433L) 화이트,"687,000"
"삼성전자 [포토상품평 이벤트] 비스포크 4도어 냉장고 RF85A9103AP (875L,글램화이트+새틴베이지)","1,418,200"
